# TEST CONFIGURATION BEGIN
# FileStream(filename='06KDDRnd.csv', target_idx=-1, n_targets=1, cat_features=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [KNN] KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# [NB] NaiveBayes(nominal_attributes=None)
# [RSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=1, random_state=None, sigma=1.0)
# [ARF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features=6, memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [PERCEPTRON] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)
# [LEARNER] VeryFastDecisionRulesClassifier(drift_detector=None, expand_confidence=1e-07, expand_criterion='info_gain', grace_period=200, max_rules=1000, min_weight=100, nb_prediction=True, nb_threshold=0, nominal_attributes=[], ordered_rules=True, remove_poor_atts=False, rule_prediction='first_hit', tie_threshold=0.05)
# EvaluatePrequential(batch_size=14072, data_points_for_classification=False, max_samples=506610, max_time=inf, metrics=['accuracy', 'kappa', 'precision', 'recall', 'f1', 'true_vs_predicted', 'running_time'], n_wait=200, output_file='results06.csv', pretrain_size=14072, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[KNN],current_acc_[KNN],mean_acc_[NB],current_acc_[NB],mean_acc_[RSLVQ],current_acc_[RSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[PERCEPTRON],current_acc_[PERCEPTRON],mean_acc_[LEARNER],current_acc_[LEARNER],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[KNN],current_kappa_[KNN],mean_kappa_[NB],current_kappa_[NB],mean_kappa_[RSLVQ],current_kappa_[RSLVQ],mean_kappa_[ARF],current_kappa_[ARF],mean_kappa_[PERCEPTRON],current_kappa_[PERCEPTRON],mean_kappa_[LEARNER],current_kappa_[LEARNER],mean_precision_[HT],current_precision_[HT],mean_precision_[KNN],current_precision_[KNN],mean_precision_[NB],current_precision_[NB],mean_precision_[RSLVQ],current_precision_[RSLVQ],mean_precision_[ARF],current_precision_[ARF],mean_precision_[PERCEPTRON],current_precision_[PERCEPTRON],mean_precision_[LEARNER],current_precision_[LEARNER],mean_recall_[HT],current_recall_[HT],mean_recall_[KNN],current_recall_[KNN],mean_recall_[NB],current_recall_[NB],mean_recall_[RSLVQ],current_recall_[RSLVQ],mean_recall_[ARF],current_recall_[ARF],mean_recall_[PERCEPTRON],current_recall_[PERCEPTRON],mean_recall_[LEARNER],current_recall_[LEARNER],mean_f1_[HT],current_f1_[HT],mean_f1_[KNN],current_f1_[KNN],mean_f1_[NB],current_f1_[NB],mean_f1_[RSLVQ],current_f1_[RSLVQ],mean_f1_[ARF],current_f1_[ARF],mean_f1_[PERCEPTRON],current_f1_[PERCEPTRON],mean_f1_[LEARNER],current_f1_[LEARNER],true_value,predicted_value_[HT],predicted_value_[KNN],predicted_value_[NB],predicted_value_[RSLVQ],predicted_value_[ARF],predicted_value_[PERCEPTRON],predicted_value_[LEARNER],training_time_[HT],testing_time_[HT],total_running_time_[HT],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN],training_time_[NB],testing_time_[NB],total_running_time_[NB],training_time_[RSLVQ],testing_time_[RSLVQ],total_running_time_[RSLVQ],training_time_[ARF],testing_time_[ARF],total_running_time_[ARF],training_time_[PERCEPTRON],testing_time_[PERCEPTRON],total_running_time_[PERCEPTRON],training_time_[LEARNER],testing_time_[LEARNER],total_running_time_[LEARNER]
14072,0.999787,1.000000,0.998152,0.995000,0.999787,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999787,1.000000,0.999328,1.000000,0.994202,0.983244,0.999328,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999328,1.000000,1.000000,1.000000,0.990754,0.972973,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998923,1.000000,1.000000,1.000000,0.998923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998923,1.000000,0.999461,1.000000,0.995355,0.986301,0.999461,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999461,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.800550,1.247489,5.048040,1.367886,0.609277,1.977163,1.595394,2.331295,3.926689,4.864644,0.154909,5.019553,117.887796,8.088437,125.976233,0.008952,0.001400,0.010351,1.826786,1.213890,3.040676
28144,0.999751,1.000000,0.998081,1.000000,0.999751,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999751,1.000000,0.999215,1.000000,0.993971,1.000000,0.999215,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999215,1.000000,1.000000,1.000000,0.990559,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998741,1.000000,0.999820,1.000000,0.998741,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998741,1.000000,0.999370,1.000000,0.995168,1.000000,0.999370,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999370,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.973386,2.467723,8.441109,2.141662,1.079439,3.221101,2.453571,4.587240,7.040812,7.557331,0.307974,7.865305,173.821818,15.998038,189.819855,0.013308,0.003269,0.016578,2.717328,2.506849,5.224177
42216,0.999692,1.000000,0.998271,1.000000,0.999692,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999692,1.000000,0.999035,1.000000,0.994600,1.000000,0.999035,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999035,1.000000,1.000000,1.000000,0.991516,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998455,1.000000,0.999881,1.000000,0.998455,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998455,1.000000,0.999227,1.000000,0.995681,1.000000,0.999227,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999227,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.817711,3.610394,11.428105,2.795857,1.585454,4.381310,3.227908,6.811124,10.039032,9.884274,0.448428,10.332703,228.912744,23.412320,252.325064,0.018869,0.004422,0.023291,3.603014,3.656335,7.259349
56288,0.999698,1.000000,0.998419,0.990000,0.999698,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999698,1.000000,0.999055,1.000000,0.995068,0.968755,0.999055,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999055,1.000000,1.000000,1.000000,0.992232,0.951220,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998488,1.000000,0.999911,1.000000,0.998488,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998488,1.000000,0.999243,1.000000,0.996057,0.975000,0.999243,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999243,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.757937,4.752300,14.510236,3.453570,1.953975,5.407545,4.015962,8.996776,13.012738,12.193576,0.587797,12.781372,283.581209,30.868547,314.449756,0.023936,0.005559,0.029496,4.491124,4.854749,9.345873
70360,0.999659,1.000000,0.998337,1.000000,0.999659,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999659,1.000000,0.998930,1.000000,0.994802,1.000000,0.998930,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998930,1.000000,1.000000,1.000000,0.991786,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998287,1.000000,0.999929,1.000000,0.998287,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998287,1.000000,0.999143,1.000000,0.995841,1.000000,0.999143,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999143,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11.639576,5.929990,17.569567,4.112954,2.348511,6.461465,4.802916,11.169993,15.972908,14.586824,0.732502,15.319326,339.462148,38.379862,377.842010,0.029030,0.006902,0.035932,5.389450,5.997640,11.387089
84432,0.999621,0.995000,0.998496,1.000000,0.999621,0.995000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999621,0.995000,0.998812,0.984227,0.995303,1.000000,0.998812,0.984227,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998812,0.984227,1.000000,1.000000,0.992573,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998100,0.975000,0.999941,1.000000,0.998100,0.975000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998100,0.975000,0.999049,0.987342,0.996243,1.000000,0.999049,0.987342,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999049,0.987342,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,13.566689,7.077195,20.643884,4.849621,2.798684,7.648304,5.657630,13.493255,19.150885,17.177417,0.876215,18.053632,396.588163,46.605841,443.194004,0.033007,0.008051,0.041058,6.304385,7.210267,13.514652
98504,0.999635,1.000000,0.998244,0.995000,0.999635,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999635,1.000000,0.998852,1.000000,0.994503,0.984798,0.998852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998852,1.000000,1.000000,1.000000,0.991339,0.976190,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998161,1.000000,0.999898,1.000000,0.998161,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998161,1.000000,0.999080,1.000000,0.995600,0.987952,0.999080,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999080,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,15.509524,8.332056,23.841581,5.591294,3.302631,8.893925,6.467362,15.807159,22.274521,19.746283,1.028682,20.774965,456.020714,54.778543,510.799256,0.037000,0.009372,0.046372,7.218826,8.421996,15.640822
112576,0.999627,1.000000,0.998286,1.000000,0.999627,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999627,1.000000,0.998828,1.000000,0.994634,1.000000,0.998828,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998828,1.000000,1.000000,1.000000,0.991534,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998123,1.000000,0.999911,1.000000,0.998123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998123,1.000000,0.999060,1.000000,0.995705,1.000000,0.999060,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999060,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,17.477531,9.569541,27.047071,6.342351,3.697707,10.040059,7.307887,18.099134,25.407021,22.348358,1.171579,23.519937,516.084198,62.752756,578.836954,0.040904,0.010599,0.051503,8.098964,9.647028,17.745993
126648,0.999637,1.000000,0.998263,1.000000,0.999637,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999637,1.000000,0.998856,1.000000,0.994549,1.000000,0.998856,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998856,1.000000,1.000000,1.000000,0.991423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998166,1.000000,0.999880,1.000000,0.998166,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998166,1.000000,0.999082,1.000000,0.995634,1.000000,0.999082,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999082,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.458972,10.770097,30.229069,7.056423,4.233864,11.290287,8.181043,20.409976,28.591019,24.935105,1.326405,26.261510,576.320810,70.668069,646.988879,0.044804,0.011976,0.056780,8.977674,10.886629,19.864303
140720,0.999638,1.000000,0.998302,1.000000,0.999638,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999638,1.000000,0.998857,1.000000,0.994664,1.000000,0.998857,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998857,1.000000,1.000000,1.000000,0.991626,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998168,1.000000,0.999856,1.000000,0.998168,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998168,1.000000,0.999083,1.000000,0.995724,1.000000,0.999083,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999083,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.347030,11.921524,33.268554,7.728333,4.704658,12.432991,8.975782,22.649622,31.625404,27.344163,1.476919,28.821082,633.134457,78.096344,711.230801,0.050846,0.013288,0.064134,9.872582,12.033686,21.906268
154792,0.999606,1.000000,0.998294,1.000000,0.999606,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999606,1.000000,0.998756,1.000000,0.994638,1.000000,0.998756,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998756,1.000000,1.000000,1.000000,0.991601,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998005,1.000000,0.999837,1.000000,0.998005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998005,1.000000,0.999002,1.000000,0.995702,1.000000,0.999002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,23.235811,13.100289,36.336100,8.430365,5.163472,13.593837,9.793223,24.837916,34.631139,29.756226,1.640748,31.396973,689.882458,85.632780,775.515238,0.057096,0.014585,0.071681,10.755759,13.207527,23.963286
168864,0.999609,1.000000,0.998277,1.000000,0.999609,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999609,1.000000,0.998767,1.000000,0.994585,1.000000,0.998767,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998767,1.000000,1.000000,1.000000,0.991506,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998023,1.000000,0.999850,1.000000,0.998023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998023,1.000000,0.999011,1.000000,0.995660,1.000000,0.999011,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999011,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.129586,14.291430,39.421016,9.115853,5.604573,14.720426,10.592876,27.009584,37.602459,32.143300,1.779351,33.922651,746.245542,93.043286,839.288828,0.062155,0.015696,0.077852,11.637255,14.351921,25.989176
