# TEST CONFIGURATION BEGIN
# FileStream(filename='file.csv', target_idx=-1, n_targets=1, cat_features=None)
# [KNN] KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [NB] NaiveBayes(nominal_attributes=None)
# [RSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=1, random_state=None, sigma=1.0)
# [ARF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features=3, memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [PERCEPTRON] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)
# [LEARNER] VeryFastDecisionRulesClassifier(drift_detector=None, expand_confidence=1e-07, expand_criterion='info_gain', grace_period=200, max_rules=1000, min_weight=100, nb_prediction=True, nb_threshold=0, nominal_attributes=[], ordered_rules=True, remove_poor_atts=False, rule_prediction='first_hit', tie_threshold=0.05)
# EvaluatePrequential(batch_size=9210, data_points_for_classification=False, max_samples=921000, max_time=inf, metrics=['accuracy', 'kappa', 'precision', 'recall', 'f1', 'true_vs_predicted', 'running_time'], n_wait=200, output_file='resultsData.csv', pretrain_size=9210, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[KNN],current_acc_[KNN],mean_acc_[HT],current_acc_[HT],mean_acc_[NB],current_acc_[NB],mean_acc_[RSLVQ],current_acc_[RSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[PERCEPTRON],current_acc_[PERCEPTRON],mean_acc_[LEARNER],current_acc_[LEARNER],mean_kappa_[KNN],current_kappa_[KNN],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[NB],current_kappa_[NB],mean_kappa_[RSLVQ],current_kappa_[RSLVQ],mean_kappa_[ARF],current_kappa_[ARF],mean_kappa_[PERCEPTRON],current_kappa_[PERCEPTRON],mean_kappa_[LEARNER],current_kappa_[LEARNER],mean_precision_[KNN],current_precision_[KNN],mean_precision_[HT],current_precision_[HT],mean_precision_[NB],current_precision_[NB],mean_precision_[RSLVQ],current_precision_[RSLVQ],mean_precision_[ARF],current_precision_[ARF],mean_precision_[PERCEPTRON],current_precision_[PERCEPTRON],mean_precision_[LEARNER],current_precision_[LEARNER],mean_recall_[KNN],current_recall_[KNN],mean_recall_[HT],current_recall_[HT],mean_recall_[NB],current_recall_[NB],mean_recall_[RSLVQ],current_recall_[RSLVQ],mean_recall_[ARF],current_recall_[ARF],mean_recall_[PERCEPTRON],current_recall_[PERCEPTRON],mean_recall_[LEARNER],current_recall_[LEARNER],mean_f1_[KNN],current_f1_[KNN],mean_f1_[HT],current_f1_[HT],mean_f1_[NB],current_f1_[NB],mean_f1_[RSLVQ],current_f1_[RSLVQ],mean_f1_[ARF],current_f1_[ARF],mean_f1_[PERCEPTRON],current_f1_[PERCEPTRON],mean_f1_[LEARNER],current_f1_[LEARNER],true_value,predicted_value_[KNN],predicted_value_[HT],predicted_value_[NB],predicted_value_[RSLVQ],predicted_value_[ARF],predicted_value_[PERCEPTRON],predicted_value_[LEARNER],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN],training_time_[HT],testing_time_[HT],total_running_time_[HT],training_time_[NB],testing_time_[NB],total_running_time_[NB],training_time_[RSLVQ],testing_time_[RSLVQ],total_running_time_[RSLVQ],training_time_[ARF],testing_time_[ARF],total_running_time_[ARF],training_time_[PERCEPTRON],testing_time_[PERCEPTRON],total_running_time_[PERCEPTRON],training_time_[LEARNER],testing_time_[LEARNER],total_running_time_[LEARNER]
9210,1.000000,1.000000,0.620304,0.685000,0.055483,0.015000,0.999023,1.000000,1.000000,1.000000,1.000000,1.000000,0.958306,0.935000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.206768,0.228333,0.018494,0.005000,0.333008,0.333333,1.000000,1.000000,1.000000,1.000000,0.319435,0.311667,1.000000,1.000000,0.255221,0.271019,0.035044,0.009852,0.333170,0.333333,1.000000,1.000000,1.000000,1.000000,0.326236,0.322136,1.000000,1.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,0.576701,0.112015,0.688716,3.413901,1.033686,4.447587,1.278621,1.158236,2.436857,4.951457,0.102448,5.053905,64.113558,4.314312,68.427870,0.011472,0.000710,0.012182,2.168146,0.833223,3.001369
18420,1.000000,1.000000,0.631053,0.545000,0.036808,0.195000,0.997991,1.000000,1.000000,1.000000,1.000000,1.000000,0.959609,0.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.210351,0.181667,0.012269,0.065000,0.332664,0.333333,1.000000,1.000000,1.000000,1.000000,0.319870,0.303333,1.000000,1.000000,0.257933,0.235167,0.023667,0.108787,0.332998,0.333333,1.000000,1.000000,1.000000,1.000000,0.326463,0.317627,1.000000,1.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,0.859602,0.215537,1.075139,5.110283,2.105720,7.216003,1.938472,2.332415,4.270887,7.395418,0.204243,7.599661,96.133768,8.451145,104.584912,0.017675,0.001349,0.019024,3.250679,1.654320,4.904999
27630,1.000000,1.000000,0.624213,0.090000,0.049294,0.000000,0.992363,1.000000,1.000000,1.000000,1.000000,1.000000,0.951502,0.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.000000,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.208071,0.030000,0.016431,0.000000,0.330788,0.333333,1.000000,1.000000,1.000000,1.000000,0.317167,0.313333,1.000000,1.000000,0.256211,0.055046,0.031319,0.000000,0.332056,0.333333,1.000000,1.000000,1.000000,1.000000,0.325049,0.323024,1.000000,1.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.138675,0.323866,1.462542,6.804226,3.125944,9.930170,2.592100,3.489600,6.081701,9.911085,0.306336,10.217421,128.082539,12.499216,140.581756,0.023171,0.002077,0.025248,4.349067,2.495553,6.844621
36840,1.000000,1.000000,0.630700,0.570000,0.101873,0.190000,0.947801,0.840000,1.000000,1.000000,0.999919,1.000000,0.950570,0.915000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.210233,0.190000,0.033958,0.063333,0.315934,0.280000,1.000000,1.000000,0.999919,1.000000,0.316857,0.305000,1.000000,1.000000,0.257844,0.242038,0.061636,0.106443,0.324400,0.304348,1.000000,1.000000,0.999959,1.000000,0.324886,0.318538,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.416951,0.381706,1.798656,8.600959,4.215495,12.816454,3.230382,4.654404,7.884786,12.403902,0.408558,12.812461,159.555788,16.538384,176.094172,0.028093,0.002744,0.030837,5.412106,3.363154,8.775261
46050,1.000000,1.000000,0.655049,0.570000,0.109837,0.575000,0.958002,1.000000,1.000000,1.000000,0.999935,1.000000,0.955266,0.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.218350,0.190000,0.036612,0.191667,0.319334,0.333333,1.000000,1.000000,0.999935,1.000000,0.318422,0.320000,1.000000,1.000000,0.263859,0.242038,0.065978,0.243386,0.326184,0.333333,1.000000,1.000000,0.999967,1.000000,0.325707,0.326531,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.707224,0.495712,2.202936,10.264596,5.291574,15.556169,3.894055,5.817348,9.711403,14.933852,0.509031,15.442883,191.271233,20.509874,211.781107,0.034206,0.003400,0.037606,6.489247,4.195433,10.684680
55260,1.000000,1.000000,0.672367,0.920000,0.111781,0.320000,0.960532,1.000000,1.000000,1.000000,0.999674,1.000000,0.960333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.224122,0.306667,0.037260,0.106667,0.320177,0.333333,1.000000,1.000000,0.999674,1.000000,0.320111,0.333333,1.000000,1.000000,0.268030,0.319444,0.067028,0.161616,0.326623,0.333333,1.000000,1.000000,0.999837,1.000000,0.326588,0.333333,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.986399,0.604646,2.591044,11.965292,6.301941,18.267233,4.529272,6.995051,11.524323,17.395456,0.612746,18.008203,222.989710,24.378544,247.368254,0.040005,0.004056,0.044061,7.566324,5.014210,12.580534
64470,1.000000,1.000000,0.695021,0.835000,0.139957,0.495000,0.966155,1.000000,1.000000,1.000000,0.999721,1.000000,0.965953,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.231674,0.278333,0.046652,0.165000,0.322052,0.333333,1.000000,1.000000,0.999721,1.000000,0.321984,0.333333,1.000000,1.000000,0.273358,0.303361,0.081849,0.220736,0.327595,0.333333,1.000000,1.000000,0.999860,1.000000,0.327561,0.333333,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.265091,0.708754,2.973846,13.719205,7.294843,21.014048,5.181470,8.208337,13.389807,19.982471,0.712127,20.694598,254.776060,28.284242,283.060302,0.045949,0.004746,0.050695,8.648499,5.848774,14.497274
73680,1.000000,1.000000,0.719883,0.870000,0.154601,0.345000,0.969069,0.990000,1.000000,1.000000,0.999756,1.000000,0.970209,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.239961,0.290000,0.051534,0.115000,0.323023,0.330000,1.000000,1.000000,0.999756,1.000000,0.323403,0.333333,1.000000,1.000000,0.279043,0.310160,0.089267,0.171004,0.328097,0.331658,1.000000,1.000000,0.999878,1.000000,0.328293,0.333333,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.536470,0.851755,3.388225,15.437682,8.207691,23.645373,5.834771,9.367032,15.201804,22.493623,0.812046,23.305668,286.488513,32.168848,318.657361,0.052365,0.005425,0.057790,9.701329,6.672897,16.374226
82890,1.000000,1.000000,0.740234,0.990000,0.147871,0.000000,0.972470,1.000000,1.000000,1.000000,0.999783,1.000000,0.973483,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.000000,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.246745,0.330000,0.049290,0.000000,0.324157,0.333333,1.000000,1.000000,0.999783,1.000000,0.324494,0.333333,1.000000,1.000000,0.283576,0.331658,0.085881,0.000000,0.328681,0.333333,1.000000,1.000000,0.999891,1.000000,0.328854,0.333333,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,2.811877,0.963956,3.775833,17.066343,9.154366,26.220709,6.471730,10.525272,16.997001,24.994327,0.912886,25.907213,318.190448,36.038878,354.229326,0.059395,0.006125,0.065520,10.720155,7.472852,18.193006
92100,1.000000,1.000000,0.757633,0.865000,0.143431,0.175000,0.975060,1.000000,1.000000,1.000000,0.999805,1.000000,0.976135,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.252544,0.288333,0.047810,0.058333,0.325020,0.333333,1.000000,1.000000,0.999805,1.000000,0.325378,0.333333,1.000000,1.000000,0.287369,0.309205,0.083626,0.099291,0.329124,0.333333,1.000000,1.000000,0.999902,1.000000,0.329308,0.333333,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,1.000000,1.000000,3.096752,1.074037,4.170789,18.708855,10.085624,28.794479,7.114920,11.722672,18.837592,27.517790,1.011998,28.529788,349.887274,39.973323,389.860597,0.065360,0.006786,0.072146,11.742054,8.270123,20.012177
