# TEST CONFIGURATION BEGIN
# FileStream(filename='file1.csv', target_idx=-1, n_targets=1, cat_features=None)
# [KNN] KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [NB] NaiveBayes(nominal_attributes=None)
# [RSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=1, random_state=None, sigma=1.0)
# [ARF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features=3, memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [PERCEPTRON] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0, warm_start=False)
# [LEARNER] VeryFastDecisionRulesClassifier(drift_detector=None, expand_confidence=1e-07, expand_criterion='info_gain', grace_period=200, max_rules=1000, min_weight=100, nb_prediction=True, nb_threshold=0, nominal_attributes=[], ordered_rules=True, remove_poor_atts=False, rule_prediction='first_hit', tie_threshold=0.05)
# EvaluatePrequential(batch_size=9210, data_points_for_classification=False, max_samples=921000, max_time=inf, metrics=['accuracy', 'kappa', 'precision', 'recall', 'f1', 'true_vs_predicted', 'running_time'], n_wait=200, output_file='resultsDataBin.csv', pretrain_size=9210, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[KNN],current_acc_[KNN],mean_acc_[HT],current_acc_[HT],mean_acc_[NB],current_acc_[NB],mean_acc_[RSLVQ],current_acc_[RSLVQ],mean_acc_[ARF],current_acc_[ARF],mean_acc_[PERCEPTRON],current_acc_[PERCEPTRON],mean_acc_[LEARNER],current_acc_[LEARNER],mean_kappa_[KNN],current_kappa_[KNN],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[NB],current_kappa_[NB],mean_kappa_[RSLVQ],current_kappa_[RSLVQ],mean_kappa_[ARF],current_kappa_[ARF],mean_kappa_[PERCEPTRON],current_kappa_[PERCEPTRON],mean_kappa_[LEARNER],current_kappa_[LEARNER],mean_precision_[KNN],current_precision_[KNN],mean_precision_[HT],current_precision_[HT],mean_precision_[NB],current_precision_[NB],mean_precision_[RSLVQ],current_precision_[RSLVQ],mean_precision_[ARF],current_precision_[ARF],mean_precision_[PERCEPTRON],current_precision_[PERCEPTRON],mean_precision_[LEARNER],current_precision_[LEARNER],mean_recall_[KNN],current_recall_[KNN],mean_recall_[HT],current_recall_[HT],mean_recall_[NB],current_recall_[NB],mean_recall_[RSLVQ],current_recall_[RSLVQ],mean_recall_[ARF],current_recall_[ARF],mean_recall_[PERCEPTRON],current_recall_[PERCEPTRON],mean_recall_[LEARNER],current_recall_[LEARNER],mean_f1_[KNN],current_f1_[KNN],mean_f1_[HT],current_f1_[HT],mean_f1_[NB],current_f1_[NB],mean_f1_[RSLVQ],current_f1_[RSLVQ],mean_f1_[ARF],current_f1_[ARF],mean_f1_[PERCEPTRON],current_f1_[PERCEPTRON],mean_f1_[LEARNER],current_f1_[LEARNER],true_value,predicted_value_[KNN],predicted_value_[HT],predicted_value_[NB],predicted_value_[RSLVQ],predicted_value_[ARF],predicted_value_[PERCEPTRON],predicted_value_[LEARNER],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN],training_time_[HT],testing_time_[HT],total_running_time_[HT],training_time_[NB],testing_time_[NB],total_running_time_[NB],training_time_[RSLVQ],testing_time_[RSLVQ],total_running_time_[RSLVQ],training_time_[ARF],testing_time_[ARF],total_running_time_[ARF],training_time_[PERCEPTRON],testing_time_[PERCEPTRON],total_running_time_[PERCEPTRON],training_time_[LEARNER],testing_time_[LEARNER],total_running_time_[LEARNER]
9210,1.000000,1.000000,0.971118,1.000000,0.448643,0.230000,0.996526,1.000000,1.000000,1.000000,1.000000,1.000000,0.995440,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.971118,1.000000,0.448643,0.230000,0.996526,1.000000,1.000000,1.000000,1.000000,1.000000,0.995440,1.000000,1.000000,1.000000,0.985348,1.000000,0.619397,0.373984,0.998260,1.000000,1.000000,1.000000,1.000000,1.000000,0.997715,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.538933,0.109603,0.648536,2.634554,0.722068,3.356622,1.193849,0.748025,1.941873,3.164282,0.075846,3.240127,62.039326,3.510138,65.549464,0.004343,0.000648,0.004991,1.660401,0.683713,2.344114
18420,1.000000,1.000000,0.947448,0.955000,0.417752,0.565000,0.995331,1.000000,1.000000,1.000000,1.000000,1.000000,0.995494,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947448,0.955000,0.417752,0.565000,0.995331,1.000000,1.000000,1.000000,1.000000,1.000000,0.995494,0.970000,1.000000,1.000000,0.973015,0.976982,0.589316,0.722045,0.997660,1.000000,1.000000,1.000000,1.000000,1.000000,0.997742,0.984772,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.805143,0.218270,1.023413,3.928502,1.453685,5.382187,1.790890,1.484080,3.274970,4.763493,0.150620,4.914113,93.228385,7.088359,100.316744,0.006421,0.001234,0.007655,2.460913,1.354903,3.815816
27630,1.000000,1.000000,0.959573,1.000000,0.414405,0.015000,0.995404,0.995000,1.000000,1.000000,1.000000,1.000000,0.994607,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.959573,1.000000,0.414405,0.015000,0.995404,0.995000,1.000000,1.000000,1.000000,1.000000,0.994607,1.000000,1.000000,1.000000,0.979369,1.000000,0.585977,0.029557,0.997696,0.997494,1.000000,1.000000,1.000000,1.000000,0.997296,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.061193,0.327058,1.388251,5.222965,2.158825,7.381790,2.382712,2.243952,4.626664,6.365872,0.224230,6.590102,124.309876,10.602785,134.912661,0.009063,0.001803,0.010866,3.270697,2.044177,5.314874
36840,1.000000,1.000000,0.949783,0.920000,0.439821,0.715000,0.974484,0.900000,1.000000,1.000000,0.999946,1.000000,0.987459,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949783,0.920000,0.439821,0.715000,0.974484,0.900000,1.000000,1.000000,0.999946,1.000000,0.987459,1.000000,1.000000,1.000000,0.974245,0.958333,0.610938,0.833819,0.987077,0.947368,1.000000,1.000000,0.999973,1.000000,0.993690,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.323779,0.385051,1.708830,6.563791,2.911582,9.475373,3.006591,2.996234,6.002825,7.945721,0.299084,8.244805,153.593806,14.160075,167.753881,0.011425,0.002418,0.013843,4.100064,2.743594,6.843658
46050,1.000000,1.000000,0.954115,0.900000,0.451292,0.800000,0.979066,1.000000,1.000000,1.000000,0.999957,1.000000,0.987818,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954115,0.900000,0.451292,0.800000,0.979066,1.000000,1.000000,1.000000,0.999957,1.000000,0.987818,0.900000,1.000000,1.000000,0.976519,0.947368,0.621918,0.888889,0.989422,1.000000,1.000000,1.000000,0.999978,1.000000,0.993871,0.947368,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.581525,0.490369,2.071894,7.876304,3.631568,11.507872,3.590981,3.742978,7.333959,9.531278,0.373158,9.904436,182.067943,17.535060,199.603003,0.014401,0.003013,0.017414,4.924823,3.419475,8.344298
55260,1.000000,1.000000,0.958270,0.980000,0.440590,0.680000,0.981162,1.000000,1.000000,1.000000,0.999928,1.000000,0.989468,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.958270,0.980000,0.440590,0.680000,0.981162,1.000000,1.000000,1.000000,0.999928,1.000000,0.989468,1.000000,1.000000,1.000000,0.978690,0.989899,0.611680,0.809524,0.990491,1.000000,1.000000,1.000000,0.999964,1.000000,0.994706,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.843895,0.597809,2.441705,9.183865,4.330074,13.513939,4.172832,4.553905,8.726737,11.219271,0.454562,11.673832,210.273292,20.842783,231.116075,0.016698,0.003592,0.020290,5.740677,4.096943,9.837621
64470,1.000000,1.000000,0.958074,0.980000,0.468807,0.795000,0.975911,0.935000,1.000000,1.000000,0.999938,1.000000,0.990213,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.958074,0.980000,0.468807,0.795000,0.975911,0.935000,1.000000,1.000000,0.999938,1.000000,0.990213,1.000000,1.000000,1.000000,0.978588,0.989899,0.638351,0.885794,0.987809,0.966408,1.000000,1.000000,0.999969,1.000000,0.995082,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.101873,0.700269,2.802141,10.518768,5.064296,15.583064,4.766456,5.299084,10.065539,12.788653,0.528097,13.316750,238.661867,24.044985,262.706852,0.019365,0.004154,0.023519,6.574736,4.778108,11.352843
73680,1.000000,1.000000,0.960206,0.985000,0.488871,0.655000,0.976194,1.000000,1.000000,1.000000,0.999946,1.000000,0.991151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960206,0.985000,0.488871,0.655000,0.976194,1.000000,1.000000,1.000000,0.999946,1.000000,0.991151,1.000000,1.000000,1.000000,0.979699,0.992443,0.656700,0.791541,0.987954,1.000000,1.000000,1.000000,0.999973,1.000000,0.995556,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.358943,0.802087,3.161030,11.847740,5.794636,17.642376,5.359463,6.054473,11.413936,14.369238,0.600512,14.969750,267.181574,27.257714,294.439288,0.022164,0.004735,0.026899,7.403541,5.455270,12.858811
82890,1.000000,1.000000,0.964290,1.000000,0.482965,0.225000,0.978079,1.000000,1.000000,1.000000,0.999952,1.000000,0.992001,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964290,1.000000,0.482965,0.225000,0.978079,1.000000,1.000000,1.000000,0.999952,1.000000,0.992001,1.000000,1.000000,1.000000,0.981820,1.000000,0.651351,0.367347,0.988918,1.000000,1.000000,1.000000,0.999976,1.000000,0.995985,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.615431,0.950994,3.566424,13.145221,6.507142,19.652363,5.953777,6.808071,12.761848,15.941630,0.676663,16.618293,295.619147,30.455387,326.074534,0.025308,0.005306,0.030614,8.221290,6.116199,14.337489
92100,1.000000,1.000000,0.967514,1.000000,0.475831,0.595000,0.978404,0.910000,1.000000,1.000000,0.999957,1.000000,0.992693,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.967514,1.000000,0.475831,0.595000,0.978404,0.910000,1.000000,1.000000,0.999957,1.000000,0.992693,1.000000,1.000000,1.000000,0.983489,1.000000,0.644831,0.746082,0.989084,0.952880,1.000000,1.000000,0.999978,1.000000,0.996333,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.871290,1.066735,3.938024,14.439525,7.237022,21.676548,6.530579,7.598421,14.129001,17.547680,0.758231,18.305910,324.018312,33.685615,357.703927,0.028408,0.005884,0.034292,9.030414,6.785254,15.815668
